frame_idx,timestamp_ms,detected,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,confidence,area,contour_area,distance_px,heatmap_ready,is_paused,kalman_corrected,kalman_predicted,pause_count,pause_duration_s,size_mean,speed_px_s,total_pause_time_s
104,3466.67,1,225,268,176,85,129,348,0.7434,33373.50,33373.5,792.5662377574913,1.0,0.0,1.0,1.0,0.0,0.0,30492,30.92329219213246,0.0
105,3500.00,1,226,268,177,88,128,345,0.7497,33106.50,33106.5,793.5662377574913,1.0,0.0,1.0,1.0,0.0,0.0,30492,30.92329219213246,0.0
106,3533.33,1,227,270,178,99,126,337,0.7624,32371.50,32371.5,795.8023057349911,1.0,0.0,1.0,1.0,0.0,0.0,30492,37.50000000000001,0.0
107,3566.67,1,228,276,178,118,126,321,0.7639,30896.50,30896.5,801.8850682652893,1.0,0.0,1.0,1.0,0.0,0.0,30492,67.08203932499349,0.0
108,3600.00,1,229,284,179,139,126,305,0.7526,28923.50,28923.5,809.9473260135878,1.0,0.0,1.0,1.0,0.0,0.0,30492,123.69316876852984,0.0
109,3633.33,1,230,294,181,164,124,290,0.7435,26735.50,26735.5,819.9972016347087,1.0,0.0,1.0,1.0,0.0,0.0,30492,197.29419656948863,0.0
110,3666.67,1,230,307,180,187,126,279,0.7345,25821.50,25821.5,832.9972016347087,1.0,0.0,1.0,1.0,0.0,0.0,30492,278.4106678990588,0.0
111,3700.00,1,231,332,174,313,132,166,0.8008,17547.00,17547.0,858.0171936411024,1.0,0.0,1.0,1.0,0.0,0.0,30492,420.6022467842987,0.0
112,3733.33,1,233,350,179,313,127,169,0.7863,16877.00,16877.0,876.1279639173772,1.0,0.0,1.0,1.0,0.0,0.0,30492,495.90825764449636,0.0
113,3766.67,1,234,363,176,313,130,169,0.7965,17498.50,17498.5,889.1663687277825,1.0,0.0,1.0,1.0,0.0,0.0,30492,518.3688358688244,0.0
114,3800.00,1,234,373,174,312,132,172,0.8217,18655.50,18655.5,899.1663687277825,1.0,0.0,1.0,1.0,0.0,0.0,30492,495.90825764449636,0.0
115,3833.33,1,234,380,174,312,132,172,0.8214,18649.50,18649.5,906.1663687277825,1.0,0.0,1.0,1.0,0.0,0.0,30492,360.70243969233155,0.0
116,3866.67,1,233,384,168,312,138,172,0.8304,19711.50,19711.5,910.2894743534001,1.0,0.0,1.0,1.0,0.0,0.0,30492,255.00000000000006,0.0
117,3900.00,1,232,388,162,312,144,175,0.8086,20376.50,20376.5,914.4125799790178,1.0,0.0,1.0,1.0,0.0,0.0,30492,188.09904305976684,0.0
118,3933.33,1,229,390,160,312,145,177,0.7751,19893.50,19893.5,918.0181312544818,1.0,0.0,1.0,1.0,0.0,0.0,30492,132.90033860002015,0.0
119,3966.67,1,230,379,158,206,146,282,0.8130,33473.50,33473.5,929.063492271669,1.0,0.0,1.0,1.0,0.0,0.0,30492,30.92329219213246,0.0
120,4000.00,1,229,370,150,197,152,295,0.7543,33825.00,33825.0,938.1188774098065,1.0,0.0,1.0,1.0,0.0,0.0,30492,109.2016483392078,0.0
121,4033.33,1,229,363,146,192,156,308,0.7486,35970.00,35970.0,945.1188774098065,1.0,0.0,1.0,1.0,0.0,0.0,30492,188.8451746802126,0.0
122,4066.67,1,229,359,142,186,162,319,0.7385,38166.00,38166.0,949.1188774098065,1.0,0.0,1.0,1.0,0.0,0.0,30492,232.50000000000006,0.0
123,4100.00,1,228,355,142,177,160,330,0.7152,37764.50,37764.5,953.2419830354241,1.0,0.0,1.0,1.0,0.0,0.0,30492,180.62391868188507,0.0
124,4133.33,1,225,347,140,171,162,321,0.6562,34122.50,34122.5,961.7859867807417,1.0,0.0,1.0,1.0,0.0,0.0,30492,175.08926294893075,0.0
125,4166.67,1,222,342,135,193,167,280,0.6829,31930.50,31930.5,967.616938675587,1.0,0.0,1.0,1.0,0.0,0.0,30492,166.01957715883938,0.0
126,4200.00,1,218,342,129,212,173,293,0.6288,31873.50,31873.5,971.616938675587,1.0,0.0,1.0,1.0,0.0,0.0,30492,151.86342548487394,0.0
127,4233.33,1,215,342,129,212,173,293,0.6288,31873.50,31873.5,974.616938675587,1.0,0.0,1.0,1.0,0.0,0.0,30492,137.88582233137635,0.0
128,4266.67,1,212,346,127,218,176,306,0.6065,32662.50,32662.5,979.616938675587,1.0,0.0,1.0,1.0,0.0,0.0,30492,97.78803607804008,0.0
129,4300.00,1,207,358,124,312,158,210,0.5884,19524.00,19524.0,992.616938675587,1.0,0.0,1.0,1.0,0.0,0.0,30492,164.4878414959604,0.0
130,4333.33,1,203,367,124,312,158,210,0.5921,19647.00,19647.0,1002.4657964773832,1.0,0.0,1.0,1.0,0.0,0.0,30492,218.66069605669955,0.0
131,4366.67,1,200,374,124,313,156,209,0.6127,19976.50,19976.5,1010.0815695832471,1.0,0.0,1.0,1.0,0.0,0.0,30492,265.0589557060853,0.0
132,4400.00,1,197,379,120,313,159,210,0.6085,20317.00,20317.0,1015.9125214780923,1.0,0.0,1.0,1.0,0.0,0.0,30492,271.868534405877,0.0
133,4433.33,1,195,383,118,313,159,210,0.6162,20575.00,20575.0,1020.3846574330919,1.0,0.0,1.0,1.0,0.0,0.0,30492,207.98136935793008,0.0
134,4466.67,1,193,386,118,313,158,209,0.6287,20759.50,20759.5,1023.9902087085559,1.0,0.0,1.0,1.0,0.0,0.0,30492,161.03182915187867,0.0
135,4500.00,1,191,388,118,313,158,209,0.6306,20825.00,20825.0,1026.818635833302,1.0,0.0,1.0,1.0,0.0,0.0,30492,124.82487732819891,0.0
